MINISTERIO DE DEFENSA NACIONAL,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,Unnamed Column 10,Unnamed Column 11,Unnamed Column 12,Unnamed Column 13,Unnamed Column 14,Unnamed Column 15,Unnamed Column 16,Unnamed Column 17,Unnamed Column 18
01/01/2019 12:00:00 AM,ANTIOQUIA,ARGELIA,Martes,3:00:00,SAN PABLO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,ANALFABETA,5055000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,BELLO,Martes,4:49:00,PLAYA RICA,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5088000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,BELLO,Martes,18:43:00,LA MILAGROSA,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,62,FEMENINO,SEPARADO,COLOMBIA,AMA DE CASA,ADMINISTRACION  DE EMPRESAS,SUPERIOR,5088000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,BRICEÑO,Martes,21:40:00,SECTOR CEMENTERIO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO EJERCITO,-,SECUNDARIA,5107000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,CONCORDIA,Martes,22:05:00,PEÑITAS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5209000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,ENVIGADO,Martes,1:30:00,LA MINA,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5266000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,ITAGUI,Martes,4:30:00,LAS MARGARITAS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,5360000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,ITAGUI,Martes,15:20:00,EL ROSARIO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5360000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,LA CEJA,Martes,8:20:00,CIUDADELA LAS FLORES,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5376000,1
01/01/2019 12:00:00 AM,ANTIOQUIA,MEDELLÍN (CT),Martes,8:30:00,LA ESPERANZA C-6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5001000,1
